#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   -9.000000e-02	   +1.272612e+05	   +3.529776e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -3.882138e-16	   +3.691644e-01	   +1.558231e+02
   -8.923077e-02	   +1.272612e+05	   +3.529776e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -4.543994e-16	   +3.691644e-01	   +1.558231e+02
   -8.846154e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -5.205849e-16	   +3.691643e-01	   +1.558230e+02
   -8.769231e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -5.867705e-16	   +3.691643e-01	   +1.558230e+02
   -8.692308e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -6.529562e-16	   +3.691642e-01	   +1.558230e+02
   -8.615385e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -7.191418e-16	   +3.691642e-01	   +1.558229e+02
   -8.538462e-02	   +1.272611e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -7.853275e-16	   +3.691642e-01	   +1.558229e+02
   -8.461538e-02	   +1.272611e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -8.515132e-16	   +3.691641e-01	   +1.558229e+02
   -8.384615e-02	   +1.272610e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -9.176990e-16	   +3.691641e-01	   +1.558229e+02
   -8.307692e-02	   +1.272610e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -9.838847e-16	   +3.691640e-01	   +1.558228e+02
   -8.230769e-02	   +1.272610e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.050070e-15	   +3.691640e-01	   +1.558228e+02
   -8.153846e-02	   +1.272610e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.116256e-15	   +3.691639e-01	   +1.558228e+02
   -8.076923e-02	   +1.272610e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.182442e-15	   +3.691639e-01	   +1.558227e+02
   -8.000000e-02	   +1.272610e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.248628e-15	   +3.691638e-01	   +1.558227e+02
   -7.923077e-02	   +1.272609e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.314814e-15	   +3.691638e-01	   +1.558227e+02
   -7.846154e-02	   +1.272609e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.381000e-15	   +3.691637e-01	   +1.558226e+02
   -7.769231e-02	   +1.272609e+05	   +3.529772e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.447186e-15	   +3.691637e-01	   +1.558226e+02
   -7.692308e-02	   +1.272609e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.304360e-15	   +3.691638e-01	   +1.558227e+02
   -7.615385e-02	   +1.272610e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -1.147959e-15	   +3.691638e-01	   +1.558227e+02
   -7.538462e-02	   +1.272610e+05	   +3.529773e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -9.915601e-16	   +3.691639e-01	   +1.558228e+02
   -7.461538e-02	   +1.272610e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -8.351618e-16	   +3.691640e-01	   +1.558228e+02
   -7.384615e-02	   +1.272610e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -6.787607e-16	   +3.691641e-01	   +1.558229e+02
   -7.307692e-02	   +1.272611e+05	   +3.529774e+02	   +1.109911e+05	   +2.886976e+02	   -5.917177e+03	   -5.223620e-16	   +3.691642e-01	   +1.558229e+02
   -7.230769e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -3.659617e-16	   +3.691642e-01	   +1.558230e+02
   -7.153846e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -2.095626e-16	   +3.691643e-01	   +1.558230e+02
   -7.076923e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   -5.316484e-17	   +3.691644e-01	   +1.558231e+02
   -7.000000e-02	   +1.272612e+05	   +3.529776e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +1.032328e-16	   +3.691645e-01	   +1.558231e+02
   -6.923077e-02	   +1.272612e+05	   +3.529776e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.596316e-16	   +3.691646e-01	   +1.558232e+02
   -6.846154e-02	   +1.272612e+05	   +3.529776e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +4.160314e-16	   +3.691647e-01	   +1.558232e+02
   -6.769231e-02	   +1.272612e+05	   +3.529776e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +5.724300e-16	   +3.691647e-01	   +1.558233e+02
   -6.692308e-02	   +1.272613e+05	   +3.529777e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +7.288283e-16	   +3.691648e-01	   +1.558233e+02
   -6.615385e-02	   +1.272613e+05	   +3.529777e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +8.852267e-16	   +3.691649e-01	   +1.558234e+02
   -6.538462e-02	   +1.272613e+05	   +3.529777e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +1.041625e-15	   +3.691650e-01	   +1.558234e+02
   -6.461538e-02	   +1.272613e+05	   +3.529778e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +1.198023e-15	   +3.691651e-01	   +1.558235e+02
   -6.384615e-02	   +1.272614e+05	   +3.529778e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +1.354421e-15	   +3.691652e-01	   +1.558235e+02
   -6.307692e-02	   +1.272614e+05	   +3.529778e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +1.510819e-15	   +3.691652e-01	   +1.558236e+02
   -6.230769e-02	   +1.272614e+05	   +3.529779e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +1.667217e-15	   +3.691653e-01	   +1.558236e+02
   -6.153846e-02	   +1.272614e+05	   +3.529779e+02	   +1.109914e+05	   +2.886976e+02	   -5.917178e+03	   +1.823615e-15	   +3.691654e-01	   +1.558237e+02
   -6.076923e-02	   +1.272615e+05	   +3.529779e+02	   +1.109914e+05	   +2.886976e+02	   -5.917178e+03	   +1.980012e-15	   +3.691655e-01	   +1.558237e+02
   -6.000000e-02	   +1.272615e+05	   +3.529780e+02	   +1.109914e+05	   +2.886976e+02	   -5.917178e+03	   +2.101619e-15	   +3.691655e-01	   +1.558238e+02
   -5.923077e-02	   +1.272614e+05	   +3.529779e+02	   +1.109914e+05	   +2.886976e+02	   -5.917178e+03	   +1.995645e-15	   +3.691654e-01	   +1.558237e+02
   -5.846154e-02	   +1.272614e+05	   +3.529778e+02	   +1.109913e+05	   +2.886976e+02	   -5.917178e+03	   +1.889667e-15	   +3.691653e-01	   +1.558236e+02
