#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   -9.000000e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -6.373062e-17	   +2.358352e-01	   +9.876049e+01
   -8.976977e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -9.757182e-17	   +2.358352e-01	   +9.876049e+01
   -8.953954e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -1.314129e-16	   +2.358352e-01	   +9.876048e+01
   -8.930931e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -1.652541e-16	   +2.358352e-01	   +9.876048e+01
   -8.907908e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -1.990953e-16	   +2.358352e-01	   +9.876047e+01
   -8.884885e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -2.329364e-16	   +2.358352e-01	   +9.876047e+01
   -8.861862e-02	   +1.013250e+05	   +2.855240e+02	   +1.052699e+05	   +2.886990e+02	   -5.901268e+03	   -2.667776e-16	   +2.358352e-01	   +9.876046e+01
   -8.838839e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -3.006188e-16	   +2.358352e-01	   +9.876046e+01
   -8.815816e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -3.344599e-16	   +2.358352e-01	   +9.876045e+01
   -8.792793e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -3.683011e-16	   +2.358352e-01	   +9.876045e+01
   -8.769770e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -4.021423e-16	   +2.358351e-01	   +9.876044e+01
   -8.746747e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -4.359834e-16	   +2.358351e-01	   +9.876044e+01
   -8.723724e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -4.698246e-16	   +2.358351e-01	   +9.876043e+01
   -8.700701e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -5.036659e-16	   +2.358351e-01	   +9.876043e+01
   -8.677678e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -5.375069e-16	   +2.358351e-01	   +9.876042e+01
   -8.654655e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -5.713482e-16	   +2.358351e-01	   +9.876042e+01
   -8.631632e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -6.051894e-16	   +2.358351e-01	   +9.876041e+01
   -8.608609e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -6.390307e-16	   +2.358351e-01	   +9.876041e+01
   -8.585586e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -6.728718e-16	   +2.358351e-01	   +9.876040e+01
   -8.562563e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -7.067130e-16	   +2.358351e-01	   +9.876040e+01
   -8.539540e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -7.405543e-16	   +2.358350e-01	   +9.876039e+01
   -8.516517e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -7.743954e-16	   +2.358350e-01	   +9.876038e+01
   -8.493493e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -8.082367e-16	   +2.358350e-01	   +9.876038e+01
   -8.470470e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -8.420779e-16	   +2.358350e-01	   +9.876037e+01
   -8.447447e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -8.759192e-16	   +2.358350e-01	   +9.876037e+01
   -8.424424e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -9.097603e-16	   +2.358350e-01	   +9.876036e+01
   -8.401401e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -9.436016e-16	   +2.358350e-01	   +9.876036e+01
   -8.378378e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -9.774429e-16	   +2.358350e-01	   +9.876035e+01
   -8.355355e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.011284e-15	   +2.358350e-01	   +9.876035e+01
   -8.332332e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.045125e-15	   +2.358350e-01	   +9.876034e+01
   -8.309309e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.078967e-15	   +2.358350e-01	   +9.876034e+01
   -8.286286e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.112808e-15	   +2.358349e-01	   +9.876033e+01
   -8.263263e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.146649e-15	   +2.358349e-01	   +9.876033e+01
   -8.240240e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.180490e-15	   +2.358349e-01	   +9.876032e+01
   -8.217217e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.214332e-15	   +2.358349e-01	   +9.876032e+01
   -8.194194e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.248173e-15	   +2.358349e-01	   +9.876031e+01
   -8.171171e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.282014e-15	   +2.358349e-01	   +9.876031e+01
   -8.148148e-02	   +1.013250e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.315855e-15	   +2.358349e-01	   +9.876030e+01
   -8.125125e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.349697e-15	   +2.358349e-01	   +9.876030e+01
   -8.102102e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.383538e-15	   +2.358349e-01	   +9.876029e+01
   -8.079079e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.417379e-15	   +2.358349e-01	   +9.876029e+01
   -8.056056e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.451220e-15	   +2.358349e-01	   +9.876028e+01
   -8.033033e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.485062e-15	   +2.358348e-01	   +9.876028e+01
   -8.010010e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.518903e-15	   +2.358348e-01	   +9.876027e+01
   -7.986987e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.552745e-15	   +2.358348e-01	   +9.876027e+01
   -7.963964e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.586586e-15	   +2.358348e-01	   +9.876026e+01
   -7.940941e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.620427e-15	   +2.358348e-01	   +9.876026e+01
   -7.917918e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.654268e-15	   +2.358348e-01	   +9.876025e+01
   -7.894895e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.688110e-15	   +2.358348e-01	   +9.876025e+01
   -7.871872e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.721951e-15	   +2.358348e-01	   +9.876024e+01
   -7.848849e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.755792e-15	   +2.358348e-01	   +9.876024e+01
   -7.825826e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.789633e-15	   +2.358348e-01	   +9.876023e+01
   -7.802803e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.823475e-15	   +2.358348e-01	   +9.876023e+01
   -7.779780e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.857316e-15	   +2.358347e-01	   +9.876022e+01
   -7.756757e-02	   +1.013249e+05	   +2.855240e+02	   +1.052698e+05	   +2.886990e+02	   -5.901268e+03	   -1.868052e-15	   +2.358347e-01	   +9.876022e+01
