#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   -9.000000e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -7.773968e-11	   +2.354828e-01	   +9.862256e+01
   -8.976977e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -1.312461e-10	   +2.354827e-01	   +9.862255e+01
   -8.953954e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -1.840435e-10	   +2.354827e-01	   +9.862254e+01
   -8.930931e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -2.361318e-10	   +2.354827e-01	   +9.862253e+01
   -8.907908e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -2.875113e-10	   +2.354827e-01	   +9.862253e+01
   -8.884885e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -2.394091e-10	   +2.354827e-01	   +9.862253e+01
   -8.861862e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -1.923811e-10	   +2.354827e-01	   +9.862254e+01
   -8.838839e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -1.486717e-10	   +2.354827e-01	   +9.862255e+01
   -8.815816e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -1.082814e-10	   +2.354827e-01	   +9.862255e+01
   -8.792793e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   -7.121036e-11	   +2.354827e-01	   +9.862256e+01
   -8.769770e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -3.745793e-11	   +2.354828e-01	   +9.862257e+01
   -8.746747e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -7.024654e-12	   +2.354828e-01	   +9.862257e+01
   -8.723724e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.008920e-11	   +2.354828e-01	   +9.862258e+01
   -8.700701e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.388452e-11	   +2.354828e-01	   +9.862259e+01
   -8.677678e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.436028e-11	   +2.354828e-01	   +9.862260e+01
   -8.654655e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +8.151748e-11	   +2.354828e-01	   +9.862260e+01
   -8.631632e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +9.535561e-11	   +2.354828e-01	   +9.862261e+01
   -8.608609e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.058744e-10	   +2.354828e-01	   +9.862262e+01
   -8.585586e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.130740e-10	   +2.354829e-01	   +9.862262e+01
   -8.562563e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.169545e-10	   +2.354829e-01	   +9.862263e+01
   -8.539540e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.175160e-10	   +2.354829e-01	   +9.862264e+01
   -8.516517e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.147587e-10	   +2.354829e-01	   +9.862265e+01
   -8.493493e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +1.086822e-10	   +2.354829e-01	   +9.862265e+01
   -8.470470e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +9.928638e-11	   +2.354829e-01	   +9.862266e+01
   -8.447447e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +8.657123e-11	   +2.354829e-01	   +9.862267e+01
   -8.424424e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +7.053692e-11	   +2.354829e-01	   +9.862267e+01
   -8.401401e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +5.118384e-11	   +2.354830e-01	   +9.862268e+01
   -8.378378e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.851143e-11	   +2.354830e-01	   +9.862269e+01
   -8.355355e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +2.519847e-12	   +2.354830e-01	   +9.862270e+01
   -8.332332e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -2.679100e-11	   +2.354830e-01	   +9.862270e+01
   -8.309309e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -5.942096e-11	   +2.354830e-01	   +9.862271e+01
   -8.286286e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -9.537022e-11	   +2.354830e-01	   +9.862272e+01
   -8.263263e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -1.346386e-10	   +2.354830e-01	   +9.862272e+01
   -8.240240e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   -1.772262e-10	   +2.354830e-01	   +9.862273e+01
