X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
-0.06, 152011.276258, 306.291162021, 0.167019619931, 1.8600796912e-09, -0.000129960517079, 101.310268262, 58.5980278319, 154979.59177, 307.999999358
-0.0591638795987, 152011.279621, 306.291159394, 0.167019698965, 2.1410902709e-09, -0.000144900522186, 101.310292577, 58.5980500683, 154979.598465, 307.999998617
-0.0583277591973, 152011.282983, 306.291156766, 0.167019778, 2.42210071572e-09, -0.00015984052012, 101.310316893, 58.5980723046, 154979.605161, 307.999997875
-0.057491638796, 152011.286346, 306.291154139, 0.167019857035, 2.70311102565e-09, -0.000174780510884, 101.310341208, 58.598094541, 154979.611857, 307.999997133
-0.0566555183946, 152011.285756, 306.291152088, 0.167019925394, 2.75267319676e-09, -0.000180358903932, 101.310349908, 58.598111894, 154979.614279, 307.999996835
-0.0558193979933, 152011.27319, 306.291151784, 0.167019961404, 2.10089162724e-09, -0.000157569401927, 101.310311289, 58.5981144492, 154979.603751, 307.99999788
-0.054983277592, 152011.260624, 306.291151481, 0.167019997414, 1.44910956081e-09, -0.000134779882547, 101.31027267, 58.5981170044, 154979.593222, 307.999998925
-0.0541471571906, 152011.248058, 306.291151177, 0.167020033424, 7.97326997463e-10, -0.000111990345792, 101.310234051, 58.5981195596, 154979.582694, 307.999999971
-0.0533110367893, 152011.235492, 306.291150873, 0.167020069434, 1.45543937203e-10, -8.92007916626e-05, 101.310195432, 58.5981221149, 154979.572165, 308.000001016
-0.052474916388, 152011.222927, 306.29115057, 0.167020105445, -5.06239619972e-10, -6.64112201587e-05, 101.310156813, 58.5981246701, 154979.561637, 308.000002061
-0.0516387959866, 152011.210361, 306.291150266, 0.167020141455, -1.15802367406e-09, -4.36216312802e-05, 101.310118194, 58.5981272253, 154979.551108, 308.000003106
-0.0508026755853, 152011.197795, 306.291149963, 0.167020177465, -1.80980822507e-09, -2.0832025027e-05, 101.310079575, 58.5981297805, 154979.54058, 308.000004151
-0.0499665551839, 152011.185229, 306.291149659, 0.167020213475, -2.46159327299e-09, 1.95759860082e-06, 101.310040956, 58.5981323357, 154979.530051, 308.000005197
-0.0491304347826, 152011.172663, 306.291149355, 0.167020249486, -3.11337881784e-09, 2.47472396033e-05, 101.310002336, 58.598134891, 154979.519523, 308.000006242
-0.0482943143813, 152011.172601, 306.291145189, 0.167020439545, -4.99167008793e-09, 1.12880923274e-05, 101.310031832, 58.5981844967, 154979.527863, 308.000006945
-0.0474581939799, 152011.177523, 306.291139484, 0.167020690994, -7.3587324343e-09, -1.66164981444e-05, 101.310088473, 58.5982528525, 154979.543723, 308.000007512
-0.0466220735786, 152011.182444, 306.291133778, 0.167020942443, -9.72579213392e-09, -4.45210574146e-05, 101.310145113, 58.5983212082, 154979.559582, 308.000008079
-0.0457859531773, 152011.187365, 306.291128073, 0.167021193892, -1.20928491868e-08, -7.24255854831e-05, 101.310201753, 58.5983895639, 154979.575442, 308.000008646
-0.0449498327759, 152011.192287, 306.291122368, 0.16702144534, -1.4459903593e-08, -0.00010033008235, 101.310258393, 58.5984579194, 154979.591301, 308.000009213
-0.0441137123746, 152011.197208, 306.291116662, 0.167021696789, -1.68269553524e-08, -0.000128234548016, 101.310315033, 58.5985262749, 154979.607161, 308.00000978
-0.0432775919732, 152011.202129, 306.291110957, 0.167021948236, -1.91940044651e-08, -0.000156138982479, 101.310371674, 58.5985946303, 154979.62302, 308.000010347
-0.0424414715719, 152011.207051, 306.291105252, 0.167022199684, -2.1561050931e-08, -0.000184043385742, 101.310428314, 58.5986629856, 154979.63888, 308.000010914
-0.0416053511706, 152011.202013, 306.291099061, 0.167022433468, -2.05566923686e-08, -0.000194709335388, 101.310447123, 58.5987207265, 154979.644274, 308.000010828
-0.0407692307692, 152011.168885, 306.291091502, 0.167022617433, -1.00431507521e-08, -0.000156753596069, 101.310359225, 58.5987485294, 154979.620154, 308.000008903
-0.0399331103679, 152011.135757, 306.291083943, 0.167022801398, 4.70409107531e-10, -0.000118797790889, 101.310271328, 58.5987763322, 154979.596033, 308.000006978
-0.0390969899666, 152011.102629, 306.291076384, 0.167022985363, 1.09839872105e-08, -8.08419198468e-05, 101.310183431, 58.5988041352, 154979.571912, 308.000005053
