z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   -9.900000e-02	   +1.013123e+02	   +1.520111e+05	   +3.062911e+02	   +1.549795e+05	   +3.080000e+02	   +6.612253e-07	   +9.317011e-12
   -9.776589e-02	   +1.013123e+02	   +1.520111e+05	   +3.062911e+02	   +1.549795e+05	   +3.080000e+02	   -1.185615e-05	   -4.822868e-12
   -9.653177e-02	   +1.013123e+02	   +1.520111e+05	   +3.062911e+02	   +1.549795e+05	   +3.080000e+02	   -2.437353e-05	   -1.896275e-11
   -9.529766e-02	   +1.013124e+02	   +1.520111e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -3.689089e-05	   -3.310262e-11
   -9.406355e-02	   +1.013124e+02	   +1.520111e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -4.940826e-05	   -4.724251e-11
   -9.282943e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -6.192563e-05	   -6.138239e-11
   -9.159532e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -7.444299e-05	   -7.552227e-11
   -9.036120e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -8.696034e-05	   -8.966214e-11
   -8.912709e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -9.947770e-05	   -1.038020e-10
   -8.789298e-02	   +1.013125e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -1.119950e-04	   -1.179419e-10
   -8.665886e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -1.093231e-04	   -1.111487e-10
   -8.542475e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -9.143663e-05	   -8.338782e-11
   -8.419064e-02	   +1.013124e+02	   +1.520112e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -7.355019e-05	   -5.562693e-11
   -8.295652e-02	   +1.013124e+02	   +1.520111e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -5.566374e-05	   -2.786601e-11
   -8.172241e-02	   +1.013124e+02	   +1.520111e+05	   +3.062911e+02	   +1.549796e+05	   +3.080000e+02	   -3.777728e-05	   -1.050949e-13
   -8.048829e-02	   +1.013123e+02	   +1.520111e+05	   +3.062911e+02	   +1.549795e+05	   +3.080000e+02	   -1.989081e-05	   +2.765584e-11
