z, massflux, p, T, rho, M, alpha, dS, P_tot, T_tot
-0.049, 83.8171075382, 152967.855678, 306.836944215, 1.7366922973, 0.137438106214, -1.92575973406e-07, -0.00281091211893, 154990.46771, 307.996127238
-0.0481672240803, 83.8172856588, 152967.804983, 306.836937149, 1.73669175749, 0.137438444966, -2.07240403787e-06, -0.00273891493083, 154990.426266, 307.996125834
-0.0473344481605, 83.8172291779, 152967.840632, 306.836950993, 1.73669206933, 0.137438324423, -2.88343661872e-06, -0.00276048101273, 154990.458867, 307.996137724
-0.0465016722408, 83.8172399433, 152967.849084, 306.836965283, 1.73669209388, 0.137438337786, -5.81127646617e-07, -0.00272954902796, 154990.467873, 307.996152315
-0.0456688963211, 83.8172344603, 152967.864491, 306.836981392, 1.73669217271, 0.137438322643, -1.01155144017e-06, -0.00270571199642, 154990.483016, 307.996168221
-0.0448361204013, 83.817232133, 152967.87781, 306.83699644, 1.73669224792, 0.137438313421, -5.06323477484e-06, -0.00268142865526, 154990.496262, 307.996183179
-0.0440033444816, 83.8172288428, 152967.893078, 306.837010535, 1.73669231805, 0.137438303867, -6.14859949602e-06, -0.00266392763277, 154990.511469, 307.996197192
-0.0431705685619, 83.8172255842, 152967.906352, 306.837026072, 1.73669239653, 0.137438295596, -3.80083035253e-06, -0.00263795717723, 154990.524736, 307.996212675
-0.0423377926421, 83.8172231693, 152967.920922, 306.837040732, 1.73669246987, 0.137438290728, -3.85990216012e-06, -0.00261729018687, 154990.53943, 307.99622736
-0.0415050167224, 83.817219154, 152967.935307, 306.837056442, 1.73669254439, 0.137438286766, -5.26344042006e-06, -0.00259283653923, 154990.553973, 307.996243114
-0.0406722408027, 83.8172166523, 152967.948095, 306.837069481, 1.73669261512, 0.137438290542, -4.9045527066e-06, -0.00257413365974, 154990.56714, 307.996256326
-0.0398394648829, 83.8172133599, 152967.96205, 306.837084045, 1.73669269443, 0.137438296897, -7.33784528482e-06, -0.00255262288945, 154990.58161, 307.996271137
-0.0390066889632, 83.8172095318, 152967.974687, 306.837097929, 1.73669277348, 0.137438309035, -9.50675330692e-06, -0.00253086360711, 154990.59498, 307.996285394
-0.0381739130435, 83.8172068671, 152967.988054, 306.83711118, 1.73669284992, 0.137438331689, -8.85176605779e-06, -0.00251253947721, 154990.609443, 307.996299232
-0.0373411371237, 83.8172015375, 152967.999458, 306.837125114, 1.73669290692, 0.137438358815, -8.76309173119e-06, -0.00248829557265, 154990.622239, 307.996313935
-0.036508361204, 83.8171995638, 152968.010849, 306.837138301, 1.73669295684, 0.137438406968, -1.34314756273e-05, -0.00246646737154, 154990.635694, 307.996328285
