"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
0,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2404149540015916e-01,	0.0000000000000000
1,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2448409559400556e-01,	0.0101010101010101
2,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2492669578785195e-01,	0.0202020202020202
3,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2536929598169835e-01,	0.0303030303030303
4,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2581189617554475e-01,	0.0404040404040404
5,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2625449636939115e-01,	0.0505050505050505
6,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2669709656323755e-01,	0.0606060606060606
7,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2713969675708395e-01,	0.0707070707070707
8,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2758229695093035e-01,	0.0808080808080808
9,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2802489714477674e-01,	0.0909090909090909
10,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2846749733862314e-01,	0.1010101010101010
11,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2891009753246954e-01,	0.1111111111111111
12,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2935269772631594e-01,	0.1212121212121212
13,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.2979529792016234e-01,	0.1313131313131313
14,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3023789811400874e-01,	0.1414141414141414
15,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3068049830785514e-01,	0.1515151515151515
16,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3112309850170153e-01,	0.1616161616161616
17,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3156569869554793e-01,	0.1717171717171717
18,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3200829888939433e-01,	0.1818181818181818
19,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3245089908324073e-01,	0.1919191919191919
20,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3289349927708713e-01,	0.2020202020202020
21,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3333609947093353e-01,	0.2121212121212121
22,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3377869966477993e-01,	0.2222222222222222
23,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3422129985862633e-01,	0.2323232323232323
24,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3466390005247272e-01,	0.2424242424242424
25,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3521715073733526e-01,	0.2525252525252525
26,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3610235289524614e-01,	0.2626262626262627
27,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3698755505315702e-01,	0.2727272727272728
28,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3787275721106787e-01,	0.2828282828282829
29,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3875795936897875e-01,	0.2929292929292929
30,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.3964316152688963e-01,	0.3030303030303030
31,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4052836368480051e-01,	0.3131313131313131
32,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4141356584271139e-01,	0.3232323232323233
33,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4229876800062224e-01,	0.3333333333333334
34,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4318397015853312e-01,	0.3434343434343435
35,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4406917231644401e-01,	0.3535353535353536
36,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4495437447435489e-01,	0.3636363636363636
37,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4583957663226577e-01,	0.3737373737373738
38,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4672477879017665e-01,	0.3838383838383839
39,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4760998094808750e-01,	0.3939393939393940
40,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4849518310599838e-01,	0.4040404040404041
41,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.4938038526390926e-01,	0.4141414141414142
42,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5026558742182011e-01,	0.4242424242424243
43,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5115078957973099e-01,	0.4343434343434344
44,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5203599173764187e-01,	0.4444444444444445
45,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5292119389555275e-01,	0.4545454545454546
46,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5380639605346363e-01,	0.4646464646464647
47,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5469159821137451e-01,	0.4747474747474748
48,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5557680036928537e-01,	0.4848484848484849
49,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5646200252719628e-01,	0.4949494949494950
50,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5734720468510713e-01,	0.5050505050505051
51,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5823240684301801e-01,	0.5151515151515152
52,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.5911760900092886e-01,	0.5252525252525253
53,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6000281115883974e-01,	0.5353535353535354
54,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6088801331675062e-01,	0.5454545454545455
55,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6177321547466150e-01,	0.5555555555555556
56,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6265841763257238e-01,	0.5656565656565657
57,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6354361979048326e-01,	0.5757575757575758
58,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6442882194839412e-01,	0.5858585858585859
