"Point",	"x_coord",	"y_coord",	"z_coord",	"u",	"v"
0,	+2.4993984010003714e-01,	-6.2935549679542296e-03,	+1.3499591380218284e-01,	0.0000100000000000,	0.0000100000000000
1,	+2.4984536474288249e-01,	-9.3146883615610916e-03,	+1.3784744112814498e-01,	0.0344920689655173,	0.0000100000000000
2,	+2.4974674434202168e-01,	-1.1659270425883115e-02,	+1.4255525885262554e-01,	0.0689741379310345,	0.0000100000000000
3,	+2.4967283888101455e-01,	-1.3144459340436496e-02,	+1.4611235695049146e-01,	0.1034562068965517,	0.0000100000000000
4,	+2.4959986833731923e-01,	-1.4461912144022577e-02,	+1.4916112668858991e-01,	0.1379382758620690,	0.0000100000000000
5,	+2.4950994921603195e-01,	-1.5936343470890211e-02,	+1.5208379115097656e-01,	0.1724203448275863,	0.0000100000000000
6,	+2.4939226482510835e-01,	-1.7681018404223359e-02,	+1.5499118306480356e-01,	0.2069024137931035,	0.0000100000000000
7,	+2.4923338602797596e-01,	-1.9793353654371244e-02,	+1.5793341651284637e-01,	0.2413844827586207,	0.0000100000000000
8,	+2.4901667917762366e-01,	-2.2353719562528913e-02,	+1.6089736890896755e-01,	0.2758665517241380,	0.0000100000000000
9,	+2.4872247369144926e-01,	-2.5417865952894875e-02,	+1.6382632067513794e-01,	0.3103486206896552,	0.0000100000000000
10,	+2.4833166389694558e-01,	-2.8987309195279646e-02,	+1.6667984839337918e-01,	0.3448306896551725,	0.0000100000000000
11,	+2.4782504952493389e-01,	-3.3038738274097555e-02,	+1.6944000898153536e-01,	0.3793127586206897,	0.0000100000000000
12,	+2.4717278680117744e-01,	-3.7608012934081531e-02,	+1.7213142577011425e-01,	0.4137948275862069,	0.0000100000000000
13,	+2.4621839951071084e-01,	-4.3418653269257410e-02,	+1.7492982512550384e-01,	0.4482768965517242,	0.0000100000000000
14,	+2.4508215525124044e-01,	-4.9430647510568977e-02,	+1.7767246968461414e-01,	0.4827589655172415,	0.0000100000000000
15,	+2.4517337696710295e-01,	-4.8975942820685986e-02,	+1.7874653498045773e-01,	0.5172410344827587,	0.0000100000000000
16,	+2.4638062953080020e-01,	-4.2487861319710198e-02,	+1.7701736904977974e-01,	0.5517231034482759,	0.0000100000000000
17,	+2.4738039933683248e-01,	-3.6216329483905796e-02,	+1.7504747935410067e-01,	0.5862051724137931,	0.0000100000000000
18,	+2.4808336526263813e-01,	-3.1038265803080729e-02,	+1.7329401861686608e-01,	0.6206872413793104,	0.0000100000000000
19,	+2.4863975886846301e-01,	-2.6211632453332741e-02,	+1.7147420939701427e-01,	0.6551693103448276,	0.0000100000000000
20,	+2.4908188748867971e-01,	-2.1610844509516652e-02,	+1.6957094177279511e-01,	0.6896513793103449,	0.0000100000000000
21,	+2.4942632649395202e-01,	-1.7185990124139027e-02,	+1.6753913433012965e-01,	0.7241334482758621,	0.0000100000000000
